#x u 
0.0 201123.9066071289 
3134.796238244514 302963.0275106876 
6269.592476489028 498977.90807219135 
9404.38871473354 673349.668949425 
12539.184952978056 821737.8852472799 
15673.98119122257 938348.1838214975 
18808.777429467085 1018672.6131533759 
21943.5736677116 1059604.9994168854 
25078.369905956115 1059562.4888494606 
28213.16614420063 1018546.7253294999 
31347.962382445145 938143.7873293224 
34482.75862068966 821462.8542994015 
37617.55485893417 673015.974782503 
40752.35109717868 498543.5856178738 
43887.14733542319 304792.52940302255 
47021.943573667704 99255.1542718953 
50156.739811912215 -110120.41500599723 
53291.53605015673 -315237.6307966984 
56426.33228840124 -508164.6158810945 
59561.12852664575 -681440.8889336954 
62695.92476489026 -828365.8611348812 
65830.72100313478 -943257.9477603813 
68965.51724137929 -1021674.2749097857 
72100.3134796238 -1060582.4853208081 
75235.10971786831 -1058477.999543079 
78369.90595611282 -1015442.1979850348 
81504.70219435733 -933139.27393571 
84639.49843260185 -814751.8792550026 
87774.29467084636 -664858.0513118298 
90909.09090909087 -489254.18040217465 
94043.88714733538 -294730.86349220056 
97178.68338557989 -88810.31201616845 
100313.4796238244 120544.53183745798 
103448.27586206891 325237.92188632017 
106583.07210031342 517354.3702413455 
109717.86833855794 689464.739010573 
112852.66457680245 834913.52486167 
115987.46081504696 948076.2271568301 
119122.25705329147 1024576.8472411956 
122257.05329153598 1061457.108193172 
125391.84952978049 1057290.8513134404 
128526.645768025 1012239.1856435119 
131661.44200626953 928044.2578834228 
134796.23824451404 807961.8836256901 
137931.03448275855 656635.6450538975 
141065.83072100306 479917.32374451915 
144200.62695924757 284640.61243071 
147335.42319749208 78356.85628806787 
150470.2194357366 -130956.95738025173 
153605.0156739811 -335206.669028053 
156739.81191222562 -526493.947798102 
159874.60815047013 -697421.7197639927 
163009.40438871464 -841380.2125799783 
166144.20062695915 -952802.5551998462 
169278.99686520366 -1027380.0486305843 
172413.79310344817 -1062228.783206583 
175548.58934169268 -1056001.159298856 
178683.3855799372 -1008937.9989564567 
181818.1818181817 -922859.2333243174 
184952.97805642622 -801093.5259548123 
188087.77429467073 -648349.5534776931 
191222.57053291524 -470533.9212014299 
194357.36677115975 -274522.754844761 
197492.16300940426 -67895.80094004393 
200626.95924764877 141356.68176133547 
203761.75548589329 345142.9053800242 
206896.5517241378 535582.462128411 
210031.3479623823 705311.0594678728 
213166.14420062682 847765.2971032216 
216300.94043887133 957436.4734956309 
219435.73667711584 1030083.6072030168 
222570.53291536035 1062897.4355183647 
225705.32915360486 1054609.0485830694 
228840.12539184937 1005538.9580970481 
231974.9216300939 917584.7031399218 
235109.7178683384 794147.4723858305 
238244.5141065829 640000.5802288612 
241379.31034482742 461104.88284378074 
244514.10658307193 264378.2720380421 
247648.90282131644 57428.16056160926 
250783.69905956095 -151742.69633952228 
253918.49529780546 -355045.6672534998 
257053.29153604998 -544619.0317618095 
260188.0877742945 -713131.9929564602 
263322.884012539 -854068.1591592954 
266457.6802507835 -961977.5326129636 
269592.476489028 -1032687.2607476481 
272727.27272727253 -1063463.0002777344 
275862.06896551704 -1053114.6541831412 
278996.86520376155 -1002042.3927290839 
282131.66144200607 -912221.1788926795 
285266.4576802506 -787124.396597728 
288401.2539184951 -631589.5350517775 
291536.0501567396 -451631.12316854333 
294670.8463949841 -254208.14789654745 
297805.6426332286 -46954.95038093837 
300940.43887147313 162113.9938033027 
304075.23510971764 364913.99420634535 
307210.03134796215 553602.7802658082 
310344.82758620667 720883.7616985306 
313479.6238244512 860288.1874506238 
316614.4200626957 966425.292126779 
319749.2163009402 1035190.7567431501 
322884.0125391847 1063925.4226320947 
326018.8087774292 1051518.1210363505 
329153.60501567373 998448.6419749978 
332288.40125391824 906769.1807763247 
335423.19749216276 780024.9797396621 
338557.99373040727 623117.2337110008 
341692.7899686518 442113.5610100881 
344827.5862068963 244013.3687931577 
347962.3824451408 36477.18616640996 
351097.1786833853 -172469.5682685372 
354231.9749216298 -374746.92913617205 
357366.77115987433 -562532.8363308939 
