#x u 
0.0 194665.91808444305 
3134.796238244514 289661.9301206007 
6269.592476489028 477175.8521593861 
9404.38871473354 643900.6644068921 
12539.184952978056 785776.5838847004 
15673.98119122257 897265.4834974848 
18808.777429467085 974057.1711574504 
21943.5736677116 1013182.0939092606 
25078.369905956115 1013127.2923342839 
28213.16614420063 973894.8856074552 
31347.962382445145 897001.9898417904 
34482.75862068966 785422.05124894 
37617.55485893417 643469.8630539523 
40752.35109717868 476634.71255729446 
43887.14733542319 291368.11054254667 
47021.943573667704 94834.31152788168 
50156.739811912215 -105366.72776351328 
53291.53605015673 -301493.23852555925 
56426.33228840124 -485961.01386084437 
59561.12852664575 -651636.6898576763 
62695.92476489026 -792113.5925771885 
65830.72100313478 -901959.4837500372 
68965.51724137929 -976926.6218276261 
72100.3134796238 -1014115.9888032003 
75235.10971786831 -1012089.1711839158 
78369.90595611282 -970922.8413489419 
81504.70219435733 -892201.204683218 
84639.49843260185 -778939.8992330915 
87774.29467084636 -635430.442985003 
90909.09090909087 -466992.05314092495 
94043.88714733538 -279631.1840642846 
97178.68338557989 -79657.58255131403 
100313.4796238244 126608.17680116663 
103448.27586206891 332826.00592952664 
106583.07210031342 532165.7065851998 
109717.86833855794 716491.3113951796 
112852.66457680245 875768.5514480254 
115987.46081504696 998565.0583758947 
119122.25705329147 1074210.7384515533 
122257.05329153598 1096129.22402899 
125391.84952978049 1064598.4709310387 
128526.645768025 986858.5259949203 
131661.44200626953 873819.4854466688 
134796.23824451404 735058.8793414542 
137931.03448275855 575454.4483757828 
141065.83072100306 395949.6679166712 
144200.62695924757 197826.6106877075 
147335.42319749208 -13077.116802105813 
150470.2194357366 -225817.90302196745 
153605.0156739811 -427920.27304609277 
156739.81191222562 -609903.6383427142 
159874.60815047013 -766864.0764597736 
163009.40438871464 -896134.4031558658 
166144.20062695915 -993817.6517411087 
169278.99686520366 -1053924.686772587 
172413.79310344817 -1071051.010616696 
175548.58934169268 -1043856.3973106941 
178683.3855799372 -975802.1477915428 
181818.1818181817 -872448.9854940795 
184952.97805642622 -738148.470111529 
188087.77429467073 -575506.2611560886 
191222.57053291524 -388011.01400846615 
194357.36677115975 -182847.7034787522 
197492.16300940426 29313.355961255107 
200626.95924764877 237609.29012117698 
203761.75548589329 434200.30464526627 
206896.5517241378 614344.9002074352 
210031.3479623823 773573.9788480008 
213166.14420062682 905238.7869746608 
216300.94043887133 1001286.6084954678 
219435.73667711584 1055686.8025956703 
222570.53291536035 1067098.692939181 
225705.32915360486 1038119.2339445247 
228840.12539184937 971987.1622433017 
231974.9216300939 870231.8140840742 
235109.7178683384 733696.7942422968 
238244.5141065829 565758.3613287867 
241379.31034482742 374195.0781217112 
244514.10658307193 169534.6479852961 
247648.90282131644 -38634.19396133698 
250783.69905956095 -243791.75475875408 
253918.49529780546 -441128.7312295259 
257053.29153604998 -624446.9580905403 
260188.0877742945 -784894.0308681534 
263322.884012539 -913161.6418971521 
266457.6802507835 -1003109.2339193136 
269592.476489028 -1053241.0310408531 
272727.27272727253 -1064677.672763316 
275862.06896551704 -1037896.2318521495 
278996.86520376155 -971746.8372188141 
282131.66144200607 -865796.7170881007 
285266.4576802506 -723491.41969044 
288401.2539184951 -552704.8638524472 
291536.0501567396 -362940.36774888646 
294670.8463949841 -161915.3216412606 
297805.6426332286 45134.12384362242 
300940.43887147313 252986.0929238989 
304075.23510971764 453707.4130119486 
307210.03134796215 636852.4356700121 
310344.82758620667 792690.0963714637 
313479.6238244512 915364.693604653 
316614.4200626957 1002941.1101806288 
319749.2163009402 1054525.2765726116 
322884.0125391847 1067678.809714301 
326018.8087774292 1038981.6777680494 
329153.60501567373 967226.6397098084 
332288.40125391824 855901.1318935467 
335423.19749216276 712301.1473088268 
338557.99373040727 544103.3108560148 
341692.7899686518 356836.25282245124 
344827.5862068963 154694.49495973284 
347962.3824451408 -56419.18339127605 
351097.1786833853 -267110.730840697 
354231.9749216298 -466153.56089943554 
357366.77115987433 -644160.7995646864 
360501.56739811884 -795723.7505652948 
363636.36363636336 -918068.4947587025 
366771.15987460787 -1007916.936371348 
369905.9561128524 -1060087.3149727294 
373040.7523510969 -1069491.5263418276 
376175.5485893414 -1034560.7527409876 
379310.3448275859 -958571.7149359115 
382445.1410658304 -847493.2181237091 
385579.93730407493 -706569.0770971392 
388714.73354231945 -539119.7948537975 
391849.52978056396 -348654.3462698247 
394984.32601880847 -141853.25714759427 
398119.122257053 70971.47224714169 
401253.9184952975 278710.767904107 
404388.714733542 472915.0525934565 
407523.5109717865 648556.9126040714 
410658.307210031 801613.9129809969 
413793.10344827553 926312.478357605 
416927.89968652005 1015200.4034051248 
420062.69592476456 1062201.7547833691 
423197.49216300907 1065625.6017196837 
426332.2884012536 1028096.3991141382 
429467.0846394981 953552.6444254826 
432601.8808777426 844480.1425573868 
435736.6771159871 702234.9937961206 
438871.4733542316 530001.141011097 
442006.26959247614 335102.18363582285 
