#x u 
0.0 96325.57342036524 
3134.796238244514 209738.96728175538 
6269.592476489028 411367.33433851524 
9404.38871473354 597088.1376378946 
12539.184952978056 759719.5587102581 
15673.98119122257 892972.6448758263 
18808.777429467085 991694.5028756945 
21943.5736677116 1052067.5611155955 
25078.369905956115 1071757.1950567982 
28213.16614420063 1050002.0070842416 
31347.962382445145 987643.2697318373 
34482.75862068966 887092.3936962031 
37617.55485893417 752237.6786498674 
40752.35109717868 588293.9527974871 
43887.14733542319 401600.9156093981 
47021.943573667704 199377.9818135684 
50156.739811912215 -10554.893177804131 
53291.53605015673 -220079.6107338075 
56426.33228840124 -421093.85566058004 
59561.12852664575 -605824.4125119898 
62695.92476489026 -767127.7556219172 
65830.72100313478 -898766.2890496787 
68965.51724137929 -995649.5542473259 
72100.3134796238 -1054031.0779548145 
75235.10971786831 -1071653.2482202305 
78369.90595611282 -1047834.6161932624 
81504.70219435733 -983496.2477339203 
84639.49843260185 -881126.1058204962 
87774.29467084636 -744682.8410880936 
90909.09090909087 -579442.7109150136 
94043.88714733538 -391795.5466918143 
97178.68338557989 -188997.65921325487 
100313.4796238244 21108.76266501516 
103448.27586206891 230398.9092586353 
106583.07210031342 430779.53622655064 
109717.86833855794 614501.9301120607 
112852.66457680245 774461.5508838288 
115987.46081504696 904472.7643078548 
119122.25705329147 999508.0402569779 
122257.05329153598 1055892.3671657022 
125391.84952978049 1071445.3646286181 
128526.645768025 1045565.5986520476 
131661.44200626953 979253.8390904088 
134796.23824451404 875074.3599028563 
137931.03448275855 737055.7787482314 
141065.83072100306 570535.270448523 
144200.62695924757 381952.1785820175 
147335.42319749208 178599.00624027377 
150470.2194357366 -31660.58487033059 
153605.0156739811 -240695.86201533946 
156739.81191222562 -440423.43664842215 
159874.60815047013 -623119.8488291068 
163009.40438871464 -781720.2332109928 
166144.20062695915 -910091.5171947283 
169278.99686520366 -1003269.5866805115 
172413.79310344817 -1057651.248226844 
175548.58934169268 -1071133.5644440292 
178683.3855799372 -1043195.1745264821 
181818.1818181817 -974916.4552610632 
184952.97805642622 -868937.7428857802 
188087.77429467073 -729357.2313584647 
191222.57053291524 -561572.4953066175 
194357.36677115975 -372071.76596170454 
197492.16300940426 -168183.03143190214 
200626.95924764877 42209.33640100364 
203761.75548589329 250969.4703302726 
206896.5517241378 450024.62159033114 
210031.3479623823 631677.3328344584 
213166.14420062682 788903.0986034082 
216300.94043887133 915622.0027626269 
219435.73667711584 1006933.8286956942 
222570.53291536035 1059307.5505491146 
225705.32915360486 1070717.877907122 
228840.12539184937 1040723.573717602 
231974.9216300939 970484.5169170289 
235109.7178683384 862716.8499431835 
238244.5141065829 721587.9455801175 
241379.31034482742 552555.2547646568 
244514.10658307193 362155.2671054181 
247648.90282131644 157750.7450054112 
250783.69905956095 -52753.99416210498 
253918.49529780546 -261218.73779390528 
257053.29153604998 -459582.15985927335 
260188.0877742945 -640173.552160849 
263322.884012539 -796009.4504143554 
266457.6802507835 -921063.6846246878 
269592.476489028 -1010500.4109175883 
272727.27272727253 -1060861.1134922237 
275862.06896551704 -1070198.3453342116 
278996.86520376155 -1038151.0359392962 
282131.66144200607 -965958.453900041 
285266.4576802506 -856412.2844226749 
288401.2539184951 -713748.6749352408 
291536.0501567396 -543484.4233804533 
294670.8463949841 -352203.6437876057 
297805.6426332286 -147303.15876009525 
300940.43887147313 63293.53545574987 
304075.23510971764 271442.67035745695 
307210.03134796215 469095.1244954186 
310344.82758620667 648607.6827829062 
313479.6238244512 803038.5994179602 
316614.4200626957 926416.0350068806 
319749.2163009402 1013968.9874330119 
322884.0125391847 1062311.786380296 
326018.8087774292 1069575.017113359 
329153.60501567373 1035477.8106950573 
332288.40125391824 961338.7051807286 
335423.19749216276 850024.6577870427 
338557.99373040727 705840.1797335278 
341692.7899686518 534360.8809094547 
344827.5862068963 342217.861189346 
347962.3824451408 136841.28597913572 
351097.1786833853 -73826.93808028648 
354231.9749216298 -281640.276429317 
357366.77115987433 -478562.5928620125 
360501.56739811884 -656978.9066970735 
363636.36363636336 -809989.8638760373 
366771.15987460787 -931678.5347991921 
369905.9561128524 -1017339.2218340953 
373040.7523510969 -1063659.4285164853 
376175.5485893414 -1068847.9536994852 
379310.3448275859 -1032704.1572537848 
382445.1410658304 -956625.7188160488 
385579.93730407493 -843554.5895549483 
388714.73354231945 -697863.226998576 
391849.52978056396 -525185.5122194077 
394984.32601880847 -332198.8878047274 
398119.122257053 -126366.14133132144 
401253.9184952975 84353.18042943432 
404388.714733542 291810.5669712044 
407523.5109717865 487983.646734858 
410658.307210031 665286.4120009439 
413793.10344827553 816862.5696042181 
416927.89968652005 936850.6736059777 
420062.69592476456 1020610.7872509041 
423197.49216300907 1064903.9091966199 
426332.2884012536 1068017.225608508 
429467.0846394981 1029830.3446246368 
432601.8808777426 951819.9519058234 
435736.6771159871 837002.7072408375 
438871.4733542316 689818.5903934903 
442006.26959247614 515959.2072045492 
445141.06583072065 322147.69534692937 
448275.86206896516 115878.74077265605 
451410.65830720967 -94871.24159136668 
454545.4545454542 -301952.55559409794 
457680.2507836987 -497357.3723913804 
460815.0470219432 -673529.3929720118 
463949.8432601877 -823656.0500373305 
467084.6394984322 -941931.9497954594 
470219.43573667674 -1023783.3663831406 
473354.23197492125 -1066045.1077218778 
476489.02821316576 -1067082.9134105016 
479623.82445141027 -1026856.6515309396 
482758.6206896548 -946921.8705484073 
485893.4169278993 -830369.6462940878 
489028.2131661438 -681707.0501458567 
492163.0094043883 -506682.8606992931 
495297.8056426328 -312065.258653971 
498432.60188087734 -105380.10144779792 
501567.39811912185 105380.10144773469 
504702.19435736636 312065.2586539102 
507836.99059561087 506682.86069923715 
510971.7868338554 681707.0501458087 
514106.5830720999 830369.6462940478 
517241.3793103444 946921.8705483791 
520376.1755485889 1026856.6515309215 
523510.9717868334 1067082.9134104964 
526645.768025078 1066045.1077218838 
529780.5642633225 1023783.3663831576 
532915.360501567 941931.9497954876 
536050.1567398115 823656.0500373666 
539184.952978056 673529.3929720594 
542319.7492163006 497357.37239143235 
545454.5454545451 301952.55559415853 
