#x u
40.02564102564103 0.0
40.05128205128206 0.8163265306122449
40.07692307692309 1.6326530612244898
40.102564102564116 2.4489795918367347
40.128205128205146 3.2653061224489797
40.153846153846175 4.081632653061225
40.179487179487204 4.8979591836734695
40.20512820512823 5.714285714285714
40.23076923076926 6.530612244897959
40.25641025641029 7.346938775510204
40.28205128205132 8.16326530612245
40.30769230769235 8.979591836734695
40.33333333333338 9.795918367346939
40.35897435897441 10.612244897959183
40.38461538461544 11.428571428571429
40.410256410256466 12.244897959183675
40.435897435897495 13.061224489795919
40.461538461538524 13.877551020408163
40.48717948717955 14.693877551020408
40.51282051282058 15.510204081632654
40.53846153846161 16.3265306122449
40.56410256410264 17.142857142857142
40.58974358974367 17.95918367346939
40.6153846153847 18.775510204081634
40.64102564102573 19.591836734693878
40.66666666666676 20.408163265306122
40.692307692307786 21.224489795918366
40.717948717948815 22.040816326530614
40.743589743589844 22.857142857142858
40.76923076923087 23.6734693877551
40.7948717948719 24.48979591836735
40.82051282051293 25.306122448979593
40.84615384615396 26.122448979591837
40.87179487179499 26.93877551020408
40.89743589743602 27.755102040816325
40.92307692307705 28.571428571428573
40.94871794871808 29.387755102040817
40.974358974359106 30.20408163265306
41.000000000000135 31.02040816326531
41.025641025641164 10.0
32.6530612244898 32.6530612244898
33.46938775510204 33.46938775510204
34.285714285714285 34.285714285714285
35.10204081632653 35.10204081632653
35.91836734693878 35.91836734693878
36.734693877551024 36.734693877551024
37.55102040816327 37.55102040816327
38.36734693877551 38.36734693877551
39.183673469387756 39.183673469387756
40.0 40.0
