#x u 
0.0 258382.41434304384 
3134.796238244514 359094.4635949262 
6269.592476489028 572185.7196750958 
9404.38871473354 764439.0478352665 
12539.184952978056 925490.2924229943 
15673.98119122257 1043283.9384537803 
18808.777429467085 1110018.9469148114 
21943.5736677116 1124188.151487055 
25078.369905956115 1090444.7189822528 
28213.16614420063 1016834.4716129225 
31347.962382445145 910783.1218157458 
34482.75862068966 776368.8614340358 
37617.55485893417 614753.6958410332 
40752.35109717868 427378.1527789567 
43887.14733542319 219346.62862919556 
47021.943573667704 246.04364142449322 
50156.739811912215 -218228.7168662788 
53291.53605015673 -425792.9447744531 
56426.33228840124 -615349.336127279 
59561.12852664575 -781911.712989152 
62695.92476489026 -920264.2620227858 
65830.72100313478 -1024001.1776304934 
68965.51724137929 -1087031.7862020966 
72100.3134796238 -1106070.2328387254 
75235.10971786831 -1081643.7382242316 
78369.90595611282 -1016704.3744300671 
81504.70219435733 -914378.0063187084 
84639.49843260185 -777194.1683270716 
87774.29467084636 -608497.7611538904 
90909.09090909087 -414387.5744692876 
94043.88714733538 -203927.9629742415 
97178.68338557989 12842.164353798798 
100313.4796238244 227297.145315771 
103448.27586206891 432813.20599876373 
106583.07210031342 623268.4394189406 
109717.86833855794 791360.2456689919 
112852.66457680245 928823.3178166484 
115987.46081504696 1028606.1452102418 
119122.25705329147 1086968.4412326573 
122257.05329153598 1103500.1517895623 
125391.84952978049 1079194.7219108613 
128526.645768025 1014694.4779210795 
131661.44200626953 910579.9215066129 
134796.23824451404 769360.1248345629 
137931.03448275855 596970.1566816659 
141065.83072100306 402041.81538484944 
144200.62695924757 193502.66831343158 
147335.42319749208 -21229.641223398292 
150470.2194357366 -235853.15564886213 
153605.0156739811 -443320.11606632126 
156739.81191222562 -634794.1876963616 
159874.60815047013 -800848.8463660001 
163009.40438871464 -933958.5255730463 
166144.20062695915 -1029949.7825635363 
169278.99686520366 -1087137.4689351404 
172413.79310344817 -1104258.5395343502 
175548.58934169268 -1079524.6694240575 
178683.3855799372 -1011876.7729128719 
181818.1818181817 -903145.3358574545 
184952.97805642622 -758804.4616625049 
188087.77429467073 -586424.2949692998 
191222.57053291524 -393287.46703617484 
194357.36677115975 -185460.1478549927 
197492.16300940426 30966.8907365862 
200626.95924764877 248067.8716219298 
203761.75548589329 455923.3798695759 
206896.5517241378 644607.4846911855 
210031.3479623823 806556.6861797511 
213166.14420062682 937142.0441274395 
216300.94043887133 1033129.5736185955 
219435.73667711584 1090896.4426715553 
222570.53291536035 1106478.699180866 
225705.32915360486 1077544.5243902989 
228840.12539184937 1005302.2147373054 
231974.9216300939 894358.2085762329 
235109.7178683384 750632.0962730262 
238244.5141065829 579415.004421925 
241379.31034482742 385446.71792686573 
244514.10658307193 174711.02169443882 
247648.90282131644 -44201.29429108511 
250783.69905956095 -260890.25781576216 
253918.49529780546 -465583.62756669556 
257053.29153604998 -650978.6277669676 
260188.0877742945 -811878.8710598915 
263322.884012539 -943320.4985868313 
266457.6802507835 -1039442.0451795616 
269592.476489028 -1094531.0049926485 
272727.27272727253 -1105343.2551840732 
275862.06896551704 -1072398.7721940451 
278996.86520376155 -998973.9795246733 
282131.66144200607 -888869.3025765336 
285266.4576802506 -745252.6163846239 
288401.2539184951 -571683.8451502091 
291536.0501567396 -374073.75587258604 
294670.8463949841 -161296.72493531718 
297805.6426332286 56449.77253046783 
300940.43887147313 270110.25652912783 
304075.23510971764 472788.2551993558 
307210.03134796215 658575.8916543879 
310344.82758620667 820753.4541457059 
313479.6238244512 951561.7708462335 
316614.4200626957 1044067.5669806602 
319749.2163009402 1094402.7802170445 
322884.0125391847 1102218.8051878458 
326018.8087774292 1069018.984124625 
329153.60501567373 996202.2744337514 
332288.40125391824 884889.3025470809 
335423.19749216276 737662.2876871133 
338557.99373040727 560275.6557458716 
341692.7899686518 361367.989960839 
344827.5862068963 150256.63522267182 
347962.3824451408 -65131.3371862893 
351097.1786833853 -278315.66656125226 
354231.9749216298 -482568.9145058404 
357366.77115987433 -669582.7937275791 
360501.56739811884 -830221.5876459422 
363636.36363636336 -956877.8571533798 
366771.15987460787 -1045233.2778713028 
369905.9561128524 -1093815.119017325 
373040.7523510969 -1102008.7261464633 
376175.5485893414 -1068753.0240766334 
379310.3448275859 -993365.2782103347 
382445.1410658304 -877637.8956092544 
385579.93730407493 -726948.8652496114 
388714.73354231945 -549103.3427211248 
391849.52978056396 -351951.7699652492 
394984.32601880847 -142063.9959103237 
398119.122257053 74415.40455902253 
401253.9184952975 289931.3492860121 
404388.714733542 494953.2344909339 
407523.5109717865 679602.7621062932 
410658.307210031 836086.4293328502 
413793.10344827553 959682.5641893693 
416927.89968652005 1047524.9068586911 
420062.69592476456 1096701.8672161663 
423197.49216300907 1103859.9803754447 
426332.2884012536 1066861.0654920898 
429467.0846394981 986821.8930164888 
432601.8808777426 868399.9856527661 
435736.6771159871 717969.7918387539 
438871.4733542316 541489.0200834774 
442006.26959247614 344121.6218104191 
445141.06583072065 131784.94111746168 
448275.86206896516 -87276.40332678532 
451410.65830720967 -302845.8296104378 
454545.4545454542 -504965.9252488151 
457680.2507836987 -686027.7946165327 
460815.0470219432 -840846.3430579694 
463949.8432601877 -964950.0800973312 
467084.6394984322 -1053161.2985490696 
470219.43573667674 -1100195.6138753651 
473354.23197492125 -1102836.5357161677 
476489.02821316576 -1061528.772560224 
479623.82445141027 -979784.8540388173 
482758.6206896548 -862035.1180345984 
485893.4169278993 -712122.5302558788 
489028.2131661438 -533902.2397948534 
492163.0094043883 -333134.7694978442 
495297.8056426328 -118451.88054651025 
498432.60188087734 99891.14388856845 
501567.39811912185 312466.3637652725 
504702.19435736636 512072.1359207382 
507836.99059561087 692939.4162549744 
510971.7868338554 848904.6518601363 
514106.5830720999 972775.7836031526 
517241.3793103444 1057832.0776551205 
